CohortMonth,CohortIndex,ActiveCustomers,CohortCustomers,RetentionRate,PeriodLabel
2009-12,1,955,955,1.0,Month 1
2009-12,2,337,955,0.35287958115183243,Month 2
2009-12,3,319,955,0.33403141361256544,Month 3
2009-12,4,406,955,0.42513089005235605,Month 4
2009-12,5,363,955,0.38010471204188484,Month 5
2009-12,6,343,955,0.35916230366492147,Month 6
2009-12,7,360,955,0.3769633507853403,Month 7
2009-12,8,327,955,0.3424083769633508,Month 8
2009-12,9,321,955,0.33612565445026177,Month 9
2009-12,10,346,955,0.362303664921466,Month 10
2009-12,11,403,955,0.42198952879581153,Month 11
2009-12,12,473,955,0.4952879581151832,Month 12
2009-12,13,359,955,0.37591623036649213,Month 13
2009-12,14,270,955,0.28272251308900526,Month 14
2009-12,15,233,955,0.24397905759162303,Month 15
2009-12,16,289,955,0.30261780104712044,Month 16
2009-12,17,251,955,0.2628272251308901,Month 17
2009-12,18,289,955,0.30261780104712044,Month 18
2009-12,19,270,955,0.28272251308900526,Month 19
2009-12,20,248,955,0.25968586387434556,Month 20
2009-12,21,244,955,0.2554973821989529,Month 21
2009-12,22,301,955,0.31518324607329845,Month 22
2009-12,23,291,955,0.30471204188481676,Month 23
2009-12,24,389,955,0.4073298429319372,Month 24
2009-12,25,188,955,0.1968586387434555,Month 25
2010-01,1,383,383,1.0,Month 1
2010-01,2,79,383,0.206266318537859,Month 2
2010-01,3,119,383,0.31070496083550914,Month 3
2010-01,4,117,383,0.30548302872062666,Month 4
2010-01,5,101,383,0.26370757180156656,Month 5
2010-01,6,115,383,0.3002610966057441,Month 6
2010-01,7,99,383,0.2584856396866841,Month 7
2010-01,8,88,383,0.2297650130548303,Month 8
2010-01,9,107,383,0.2793733681462141,Month 9
2010-01,10,122,383,0.3185378590078329,Month 10
2010-01,11,116,383,0.3028720626631854,Month 11
2010-01,12,66,383,0.17232375979112272,Month 12
2010-01,13,85,383,0.22193211488250653,Month 13
2010-01,14,68,383,0.17754569190600522,Month 14
2010-01,15,72,383,0.18798955613577023,Month 15
2010-01,16,58,383,0.1514360313315927,Month 16
2010-01,17,90,383,0.2349869451697128,Month 17
