Country,Customers,Orders,Revenue
United Kingdom,5350,33541,14389234.917
EIRE,5,567,616570.54
Netherlands,22,228,554038.09
Germany,107,789,425019.711
France,95,614,348768.96
Australia,15,95,169283.46
Spain,41,154,108332.49
Switzerland,22,90,100061.94
Sweden,19,104,91515.82
Denmark,12,43,68580.69
Belgium,29,149,65387.82
Norway,13,45,56322.5
Portugal,24,93,55554.78
Channel Islands,13,55,44623.33
Japan,10,33,43023.909999999996
Italy,17,65,32108.170000000002
Finland,14,57,29925.54
Singapore,1,11,25317.06
Cyprus,11,37,24849.95
Austria,13,45,23613.010000000002
Greece,5,18,19096.19
Poland,6,28,10654.29
Israel,4,7,10415.24
United Arab Emirates,4,11,9202.69
Unspecified,6,16,8607.35
USA,9,20,8366.86
Malta,2,9,8099.09
Iceland,1,8,4921.53
Lithuania,1,6,4892.68
Canada,5,8,4883.04
Thailand,1,2,3070.54
RSA,2,2,1933.74
Lebanon,1,1,1693.88
Brazil,2,2,1411.87
Bahrain,2,4,1354.37
European Community,1,4,1300.25
Korea,2,2,1118.51
Czech Republic,1,2,826.74
West Indies,1,1,536.41
Saudi Arabia,1,1,145.92
Nigeria,1,2,140.39000000000001
