CustomerID,LastPurchaseDate,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
18102,2011-12-09 11:50:00.000000556,1,145,580987.04,5,5,5,555,Champions
14646,2011-12-08 12:11:59.999999832,2,151,528602.52,5,5,5,555,Champions
14156,2011-11-30 10:54:00.000000296,10,156,313437.62,5,5,5,555,Champions
14911,2011-12-08 15:53:59.999999870,2,398,291420.81,5,5,5,555,Champions
17450,2011-12-01 13:28:59.999999805,9,51,244784.25,5,5,5,555,Champions
13694,2011-12-06 09:31:59.999999972,4,143,195640.69,5,5,5,555,Champions
17511,2011-12-07 10:12:00.000000250,3,60,172132.87,5,5,5,555,Champions
16446,2011-12-09 09:14:59.999999164,1,2,168472.5,5,2,5,525,Recent Customers
16684,2011-12-05 14:06:00.000000129,5,55,147142.77,5,5,5,555,Champions
12415,2011-11-15 14:22:00.000000111,25,28,144458.37,4,5,5,455,Champions
15061,2011-12-06 12:05:59.999999916,4,127,126389.02,5,5,5,555,Champions
16029,2011-11-01 10:27:00.000000046,39,107,117763.62,4,5,5,455,Champions
17949,2011-12-08 18:46:00.000000194,2,118,117314.08,5,5,5,555,Champions
15311,2011-12-09 12:00:00.000000000,1,208,114966.42,5,5,5,555,Champions
13089,2011-12-07 09:01:59.999999759,3,203,113416.91,5,5,5,555,Champions
12931,2011-11-18 12:38:59.999999452,22,57,92347.34,4,5,5,455,Champions
14298,2011-12-01 13:12:00.000000250,9,82,91194.49,5,5,5,555,Champions
15769,2011-12-02 13:51:59.999999898,8,46,88612.52,5,5,5,555,Champions
12346,2011-01-18 10:00:59.999999981,326,12,77556.46,2,5,5,255,At Risk
13798,2011-12-08 15:50:59.999999916,2,110,75428.87,5,5,5,555,Champions
15838,2011-11-28 14:00:00.000000213,12,34,73205.5,5,5,5,555,Champions
17841,2011-12-08 12:07:00.000000111,2,211,68545.25,5,5,5,555,Champions
16754,2010-12-02 17:38:00.000000101,373,29,65500.07,2,5,5,255,At Risk
14096,2011-12-05 17:16:59.999999759,5,17,65164.79,5,5,5,555,Champions
14088,2011-11-29 16:15:59.999999777,11,16,64036.8,5,5,5,555,Champions
16422,2011-11-22 14:00:00.000000213,18,109,61920.87,5,5,5,555,Champions
17389,2011-12-09 09:37:59.999999888,1,61,57215.33,5,5,5,555,Champions
13081,2011-11-28 10:54:00.000000296,12,28,56838.37,5,5,5,555,Champions
16013,2011-12-06 10:35:59.999999916,4,84,56078.44,5,5,5,555,Champions
14680,2011-11-14 16:59:00.000000018,26,58,55688.5,4,5,5,455,Champions
13093,2011-03-09 12:14:00.000000853,276,55,54144.25,2,5,5,255,At Risk
12748,2011-12-09 12:20:00.000000139,1,336,53539.64,5,5,5,555,Champions
17850,2010-12-02 15:27:00.000000250,373,155,51208.87,2,5,5,255,At Risk
13408,2011-12-08 09:04:59.999999721,2,106,50174.782,5,5,5,555,Champions
13777,2011-12-09 12:24:59.999999860,1,61,49638.26,5,5,5,555,Champions
17404,2011-12-05 16:25:59.999999842,5,23,47781.12,5,5,5,555,Champions
13881,2011-12-06 12:49:59.999999721,4,43,45179.1,5,5,5,555,Champions
15749,2011-04-18 13:20:00.000000556,236,3,44534.3,2,3,5,235,Needs Attention
16705,2011-12-09 12:08:00.000000306,1,42,43515.051,5,5,5,555,Champions
12471,2011-12-07 15:43:00.000000863,3,79,39918.19,5,5,5,555,Champions
15098,2011-06-10 15:32:59.999999536,183,3,39916.5,3,3,5,335,Potential Loyalists
15039,2011-11-30 11:30:59.999999981,10,93,39141.48,5,5,5,555,Champions
14031,2011-12-02 17:13:00.000000863,8,44,39019.51,5,5,5,555,Champions
17675,2011-12-08 18:02:59.999999331,2,70,37642.48,5,5,5,555,Champions
17381,2011-12-01 11:58:59.999999805,9,38,36398.65,5,5,5,555,Champions
12921,2011-11-30 16:21:59.999999693,10,74,35233.24,5,5,5,555,Champions
17677,2011-12-08 09:55:59.999999638,2,54,35058.46,5,5,5,555,Champions
12678,2011-10-28 13:04:00.000000575,43,21,34281.18,4,5,5,455,Champions
13902,2010-03-17 13:09:00.000000296,633,5,34095.26,1,4,5,145,At Risk
13767,2011-12-07 15:00:00.000000000,3,73,33903.57,5,5,5,555,Champions
16210,2011-12-08 12:36:00.000000129,2,35,33750.97,5,5,5,555,Champions
16779,2011-12-07 14:53:59.999999452,3,53,32809.03,5,5,5,555,Champions
15856,2011-12-05 17:08:59.999999452,5,52,32275.95,5,5,5,555,Champions
14258,2011-11-30 15:27:00.000000250,10,25,32051.34,5,5,5,555,Champions
17428,2011-12-09 09:45:00.000000000,1,45,31466.760000000002,5,5,5,555,Champions
17940,2011-10-21 13:27:00.000000046,50,16,30306.79,4,5,5,455,Champions
12709,2011-11-24 15:37:59.999999888,16,34,30291.76,5,5,5,555,Champions
14606,2011-12-08 19:28:00.000000863,2,192,29951.37,5,5,5,555,Champions
12681,2011-11-25 11:32:59.999999749,15,45,29834.76,5,5,5,555,Champions
13078,2011-12-06 15:36:00.000000129,4,57,29018.06,5,5,5,555,Champions
13098,2011-12-08 14:13:59.999999805,2,28,28882.44,5,5,5,555,Champions
17857,2011-12-05 13:12:59.999999814,5,24,27347.04,5,5,5,555,Champions
14527,2011-12-07 12:19:00.000000575,3,122,27246.88,5,5,5,555,Champions
16333,2011-12-02 12:19:00.000000575,8,22,26626.8,5,5,5,555,Champions
15513,2011-11-06 14:35:59.999999703,34,35,26437.05,4,5,5,455,Champions
17865,2011-11-09 12:08:00.000000306,31,46,26312.19,4,5,5,455,Champions
18251,2011-09-13 15:02:59.999999331,88,9,26278.86,3,5,5,355,Potential Loyalists
13802,2011-07-24 10:54:00.000000296,139,19,26259.11,3,5,5,355,Potential Loyalists
12731,2011-11-16 11:58:59.999999805,24,17,25775.71,4,5,5,455,Champions
14062,2011-11-30 10:04:00.000000575,10,24,25585.65,5,5,5,555,Champions
12744,2011-10-19 11:17:59.999999331,52,11,25317.06,4,5,5,455,Champions
12939,2011-10-06 14:32:59.999999749,65,20,25264.8,3,5,5,355,Potential Loyalists
14895,2011-12-02 09:23:00.000000101,8,38,25119.54,5,5,5,555,Champions
15498,2011-12-07 12:47:59.999999331,3,44,24972.86,5,5,5,555,Champions
12621,2011-12-08 11:25:00.000000073,2,35,24311.2,5,5,5,555,Champions
16525,2011-12-07 15:07:00.000000111,3,48,24151.3,5,5,5,555,Champions
13001,2011-12-05 14:51:00.000000129,5,33,24042.65,5,5,5,555,Champions
14607,2011-11-24 10:34:59.999999721,16,22,23763.13,5,5,5,555,Champions
12482,2010-05-12 16:50:59.999999703,577,29,23691.4,1,5,5,155,At Risk
17920,2011-12-05 14:29:00.000000853,5,54,23581.78,5,5,5,555,Champions
15640,2011-12-05 14:35:00.000000139,5,29,23494.31,5,5,5,555,Champions
12409,2011-09-22 10:38:00.000000306,79,7,23419.29,3,4,5,345,Potential Loyalists
16133,2011-12-06 11:23:59.999999870,4,56,22992.260000000002,5,5,5,555,Champions
12682,2011-12-06 09:59:59.999999164,4,52,22950.22,5,5,5,555,Champions
14063,2010-09-27 16:17:59.999999536,439,9,22710.2,1,5,5,155,At Risk
12540,2011-11-20 11:30:59.999999981,20,33,22254.49,5,5,5,555,Champions
15159,2011-12-08 12:04:59.999999721,2,34,22116.73,5,5,5,555,Champions
13340,2011-10-25 13:15:00.000000213,46,12,22100.56,4,5,5,455,Champions
14051,2011-12-09 10:20:00.000000556,1,37,21770.98,5,5,5,555,Champions
16839,2011-12-01 09:02:59.999999331,9,44,21758.25,5,5,5,555,Champions
12753,2011-11-17 10:51:59.999999898,23,6,21429.39,4,4,5,445,Champions
15615,2011-11-29 14:42:00.000000250,11,47,21373.97,5,5,5,555,Champions
13319,2011-12-04 13:34:00.000000157,6,58,21323.22,5,5,5,555,Champions
14866,2011-11-29 11:45:00.000000213,11,19,20746.54,5,5,5,555,Champions
14667,2011-11-29 11:29:59.999999164,11,54,20395.34,5,5,5,555,Champions
15251,2011-11-30 15:01:59.999999759,10,21,20324.54,5,5,5,555,Champions
12477,2011-11-17 09:50:59.999999916,23,9,20276.37,4,5,5,455,Champions
17706,2011-12-05 13:34:00.000000157,5,31,20272.15,5,5,5,555,Champions
17243,2011-12-08 13:25:59.999999842,2,69,20203.58,5,5,5,555,Champions
18008,2011-09-30 15:17:00.000000185,71,23,19759.079999999998,3,5,5,355,Potential Loyalists
17340,2011-11-10 10:44:59.999999164,30,18,19617.95,4,5,5,455,Champions
16843,2011-10-28 09:05:59.999999916,43,35,19571.43,4,5,5,455,Champions
17139,2011-11-24 10:12:00.000000250,16,25,19566.76,5,5,5,555,Champions
14194,2011-12-05 10:38:00.000000306,5,36,18670.59,5,5,5,555,Champions
12357,2011-11-06 16:06:59.999999898,34,3,18287.66,4,3,5,435,Loyal Customers
13113,2011-12-09 12:49:00.000000157,1,37,18230.07,5,5,5,555,Champions
12557,2011-11-23 16:59:00.000000018,17,8,18096.14,5,4,5,545,Champions
16746,2011-12-05 12:32:59.999999536,5,42,18046.75,5,5,5,555,Champions
17581,2011-12-09 12:20:59.999999703,1,43,17951.17,5,5,5,555,Champions
12901,2011-12-01 10:06:59.999999898,9,28,17654.54,5,5,5,555,Champions
17377,2011-11-16 11:16:59.999999759,24,78,17644.27,4,5,5,455,Champions
14952,2011-10-11 10:32:59.999999331,60,32,17629.35,3,5,5,355,Potential Loyalists
16652,2011-10-12 09:37:59.999999888,59,16,17550.39,4,5,5,455,Champions
15189,2011-12-08 13:21:59.999999693,2,46,17524.38,5,5,5,555,Champions
18172,2011-11-25 11:12:00.000000046,15,52,17467.24,5,5,5,555,Champions
16019,2011-10-24 11:51:00.000000129,47,27,17329.16,4,5,5,455,Champions
17416,2011-11-10 12:46:59.999999759,30,22,17298.45,4,5,5,455,Champions
15078,2011-12-02 15:40:59.999999842,8,53,17286.73,5,5,5,555,Champions
15523,2011-09-16 16:28:59.999999805,85,16,17259.19,3,5,5,355,Potential Loyalists
13027,2011-08-18 09:38:59.999999452,114,19,17239.2,3,5,5,355,Potential Loyalists
14277,2011-11-24 15:01:00.000000194,16,9,17197.61,5,5,5,555,Champions
15808,2011-02-06 14:32:59.999999749,307,21,17180.25,2,5,5,255,At Risk
15125,2011-11-14 13:57:00.000000250,26,24,17024.87,4,5,5,455,Champions
